contented,upset
contented,sad
contented,unhappy
contented,disturbed
satisfied,unhappy
influenced,kept
changed,placed
changed,stored
changed,permanent
changed,kept
changed,final
returned,held
returned,kept
returned,retained
exchanged,kept
kept,forgotten
kept,abandoned
kept,broken
reserved,excited
reserved,friendly
reserved,upset
reserved,given
reserved,disturbed
reserved,troubled
reserved,assured
reserved,bold
reserved,offered
composed,nervous
composed,upset
composed,worried
composed,excited
composed,angered
relaxed,excited
relaxed,worried
relaxed,planned
relaxed,troubled
relaxed,formal
relaxed,stiff
relaxed,difficult
relaxed,violent
relaxed,wild
informal,official
informal,formal
informal,stiff
intimate,far
intimate,cold
intimate,cool
intimate,away
intimate,loose
intimate,formal
intimate,public
warm,freezing
warm,violent
warm,cool
warm,cooled
warm,cold
warm,unhappy
warm,calm
sunny,upset
sunny,dark
sunny,unhappy
pleasant,boring
pleasant,bad
pleasant,mean
pleasant,bitter
pleasant,ugly
pleasant,sad
pleasant,unhappy
pleasant,harsh
pleasant,severe
pleasant,nasty
pleasant,offensive
pleasant,troubling
sweet,acid
sweet,bitter
sweet,mean
sweet,ugly
acid,basic
acid,kind
acid,mild
acid,sweet
acid,nice
biting,pleasant
biting,kind
biting,mild
biting,nice
biting,calm
biting,sweet
bitter,pleasant
bitter,content
bitter,kind
bitter,wonderful
bitter,sweet
bitter,mild
bitter,nice
bitter,good
bitter,helping
harsh,pleasant
harsh,kind
harsh,peaceful
harsh,pleasing
harsh,flexible
harsh,soft
harsh,yielding
harsh,easy
harsh,mild
harsh,nice
harsh,bright
harsh,sunny
harsh,calm
harsh,moderate
harsh,low
harsh,gentle
harsh,smooth
hard,vulnerable
hard,pleasant
hard,uncertain
hard,soft
hard,weak
hard,delicate
hard,flexible
hard,yielding
hard,easy
hard,mild
hard,simple
hard,nice
hard,sensitive
solid,divided
solid,vulnerable
solid,weak
solid,little
solid,slight
solid,small
solid,moving
solid,flexible
solid,soft
solid,loose
solid,thin
solid,fluid
solid,liquid
solid,broken
tight,loose
tight,weak
tight,moderate
tight,soft
tight,flexible
tight,calm
tight,broken
tight,slow
tight,reasonable
tight,yielding
tight,comfortable
tight,free
tight,open
tight,wide
tight,giving
tight,easy
strong,fragile
strong,vulnerable
strong,unable
strong,vague
strong,pale
strong,loose
strong,soft
strong,weak
strong,yielding
strong,moving
strong,little
strong,small
strong,easy
strong,delicate
strong,broken
strong,mild
strong,moderate
strong,low
firm,vulnerable
firm,weak
firm,nice
firm,easy
firm,soft
firm,flexible
firm,yielding
firm,loose
firm,moving
tough,fragile
tough,vulnerable
tough,kind
tough,weak
tough,yielding
tough,loose
tough,flexible
tough,soft
tough,easy
tough,delicate
tough,gentle
tough,nice
tough,tender
stiff,bending
stiff,informal
stiff,soft
stiff,loose
stiff,flexible
stiff,casual
stiff,easy
stiff,calm
stiff,moderate
stiff,normal
thick,restricted
thick,intelligent
thick,wise
thick,little
thick,slight
thick,small
thick,easy
thick,narrow
thick,thin
thick,loose
thick,flexible
thick,soft
thick,weak
thick,low
thick,smart
thick,clear
thick,reasonable
heavy,tiny
heavy,small
heavy,thin
heavy,little
heavy,easy
heavy,slight
heavy,poor
heavy,light
heavy,gay
heavy,happy
heavy,moving
huge,tiny
huge,minor
huge,little
huge,minute
huge,small
huge,short
huge,poor
huge,limited
huge,narrow
enormous,tiny
enormous,little
enormous,minute
enormous,small
enormous,common
enormous,ordinary
excessive,needed
